time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-04 00:00:00+00:00,40,10,0,0
2026-05-05 00:00:00+00:00,43,13,0,0
2026-05-06 00:00:00+00:00,17,4,0,0
2026-05-07 00:00:00+00:00,10,6,0,0
2026-05-08 00:00:00+00:00,13,4,0,0
2026-05-09 00:00:00+00:00,16,7,0,0
2026-05-10 00:00:00+00:00,9,4,1,1
2026-05-11 00:00:00+00:00,7,3,0,0
2026-05-12 00:00:00+00:00,12,3,0,0
2026-05-13 00:00:00+00:00,22,6,0,0
2026-05-14 00:00:00+00:00,2,2,0,0
2026-05-15 00:00:00+00:00,18,5,0,0
2026-05-16 00:00:00+00:00,31,9,1,1
2026-05-17 00:00:00+00:00,1,1,0,0
