time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-01 00:00:00+00:00,13,5,0,0
2026-04-02 00:00:00+00:00,21,9,0,0
2026-04-03 00:00:00+00:00,8,4,0,0
2026-04-04 00:00:00+00:00,7,3,0,0
2026-04-05 00:00:00+00:00,20,7,0,0
2026-04-06 00:00:00+00:00,1,1,0,0
2026-04-07 00:00:00+00:00,11,6,0,0
2026-04-08 00:00:00+00:00,14,6,0,0
2026-04-09 00:00:00+00:00,14,5,0,0
2026-04-10 00:00:00+00:00,5,5,0,0
2026-04-11 00:00:00+00:00,12,7,0,0
2026-04-12 00:00:00+00:00,29,8,0,0
2026-04-13 00:00:00+00:00,16,7,0,0
2026-04-14 00:00:00+00:00,36,9,0,0
